randomint,fraction of apps granted contacts,fraction of apps granted camera,fraction of apps granted microphone,fraction of apps granted phone,fraction of apps granted calendar,fraction of apps granted location,fraction of apps granted storage,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sms
76461,0.308823529,0.28,0.366666667,0.257142857,0.357142857,0.409090909,0.416666667,0.448275862,3,3,3,3,3,3,3,3
90890,0.162162162,0.228070175,0.277777778,0.272727273,0.333333333,0.261538462,0.301075269,0.392857143,2,2,3,2,2,3,1,2
62521,0.220338983,0.145833333,0.25,0.254901961,0.428571429,0.275862069,0.253012048,0.37037037,3,3,3,3,3,3,3,3
48359,0.363636364,0.346153846,0.368421053,0.428571429,0.3,0.289473684,0.4,0.583333333,4,2,5,4,3,4,5,4
36848,0.168224299,0.274725275,0.253968254,0.1875,0.294117647,0.259615385,0.203389831,0.212765957,5,5,5,5,5,5,5,5
88829,0.333333333,0.438596491,0.361111111,0.375,0.5,0.451612903,0.575757576,0.529411765,5,4,3,4,4,3,3,3
98405,0.375,0.384615385,0.451612903,0.4375,0.5,0.352941176,0.546666667,0.538461538,4,5,4,4,4,5,4,5
35983,0.723076923,0.68,0.463414634,0.524590164,0.461538462,0.590163934,0.647058824,0.677419355,3,4,3,3,4,3,3,3
86140,0.87804878,0.666666667,0.684210526,0.9,0.857142857,0.842105263,0.830188679,0.869565217,2,2,2,4,2,2,2,2
52227,0.27027027,0.148148148,0.25,0.258064516,0.222222222,0.333333333,0.302325581,0.352941176,1,1,1,3,3,4,2,4
90787,0.366666667,0.2,0.466666667,0.321428571,0.222222222,0.4375,0.351351351,0.285714286,4,5,4,2,3,3,2,3
26552,0.846153846,0.916666667,0.80952381,0.833333333,1,0.882352941,0.901960784,0.8125,2,2,4,4,4,4,2,4
46901,0.202531646,0.236363636,0.235294118,0.275862069,0.461538462,0.25974026,0.298245614,0.551724138,4,5,5,5,4,5,4,5
84932,0.393939394,0.434782609,0.4375,0.47826087,0.5,0.448275862,0.512820513,0.538461538,3,3,3,3,3,3,3,3
45846,0.739130435,0.677419355,0.666666667,0.625,0.846153846,0.6,0.827586207,0.466666667,4,5,5,5,5,5,3,5
92776,0.208333333,0.282051282,0.296296296,0.225806452,0.333333333,0.205128205,0.349206349,0.3125,4,3,1,3,2,3,2,1
14068,0.830188679,0.694444444,0.757575758,0.8,0.857142857,0.907407407,0.814814815,0.833333333,3,4,2,2,3,3,3,3
83419,0.372093023,0.34375,0.315789474,0.346153846,0.5,0.578947368,0.508474576,0.470588235,2,3,3,4,3,4,4,4
69196,0.361111111,0.2,0.260869565,0.333333333,0.444444444,0.382352941,0.270833333,0.277777778,4,4,4,5,5,2,2,5
50359,0.391304348,0.111111111,0.444444444,0.555555556,0.333333333,0.333333333,0.363636364,0.538461538,3,3,5,3,3,3,1,3
19339,0.393442623,0.43902439,0.535714286,0.416666667,0.5,0.46,0.607594937,0.392857143,4,3,4,4,4,3,2,4
32790,0.289473684,0.366666667,0.428571429,0.333333333,0.6,0.416666667,0.479166667,0.473684211,4,5,5,0,4,5,5,3
44520,0.342857143,0.260869565,0.388888889,0.266666667,0.571428571,0.222222222,0.428571429,0.5,3,4,3,4,0,3,4,4
99022,0.35,0.153846154,0.235294118,0.322580645,0.428571429,0.305555556,0.293103448,0.466666667,4,4,5,4,5,5,4,4
35955,0.290322581,0.25,0.3,0.375,0.3,0.40625,0.418604651,0.368421053,2,3,3,2,3,3,2,3
29927,0.641304348,0.661290323,0.529411765,0.583333333,0.631578947,0.613333333,0.597765363,0.621621622,3,4,5,4,4,3,3,5
59401,0.303030303,0.291666667,0.388888889,0.37037037,0.5,0.4,0.564102564,0.5,3,3,3,3,3,3,3,3
89436,0.333333333,0.37037037,0.4,0.36,0.5,0.470588235,0.463414634,0.470588235,4,4,4,4,4,4,4,4
49584,0.647058824,0.708333333,0.470588235,0.681818182,0.666666667,0.88,0.675675676,0.636363636,4,4,5,4,5,5,3,5
23672,0.416666667,0.466666667,0.8,0.454545455,0.833333333,0.454545455,0.612903226,0.8,2,4,4,4,0,4,4,4
12966,0.25,0.285714286,0.4375,0.3125,0.3,0.421052632,0.333333333,0.444444444,4,4,5,5,4,4,5,5
52362,0.354166667,0.361111111,0.346153846,0.363636364,0.333333333,0.583333333,0.526315789,0.538461538,5,4,2,4,2,5,3,5
76477,0.428571429,0.481481481,0.428571429,0.384615385,0.454545455,0.552631579,0.58490566,0.608695652,3,5,5,5,0,5,5,5
46283,0.375,0.322580645,0.409090909,0.368421053,0.4,0.432432432,0.357142857,0.5,4,4,5,3,5,3,3,4
64853,0.225352113,0.410714286,0.380952381,0.296875,0.466666667,0.346666667,0.46728972,0.428571429,3,3,3,3,3,3,3,3
30193,0.445945946,0.490196078,0.32,0.410714286,0.5,0.534482759,0.564516129,0.517241379,3,4,4,3,3,2,3,3
33310,0.285714286,0.289473684,0.322580645,0.240740741,0.461538462,0.346153846,0.352112676,0.434782609,5,5,5,5,5,1,1,1
36850,0.348837209,0.25,0.363636364,0.302325581,0.4,0.358974359,0.509803922,0.476190476,4,3,4,2,2,4,1,4
95330,0.371428571,0.35,0.294117647,0.423076923,0.375,0.454545455,0.555555556,0.444444444,4,4,4,4,4,4,4,4
23172,0.68852459,0.666666667,0.580645161,0.555555556,0.75,0.690909091,0.686746988,0.730769231,5,5,5,5,5,5,1,5
47486,0.346153846,0.522727273,0.555555556,0.369565217,0.461538462,0.56,0.647887324,0.423076923,3,3,3,3,3,3,3,3
98648,0.481481481,0.619047619,0.466666667,0.5,0.6,0.608695652,0.743589744,0.5,3,5,4,2,4,4,2,4
11896,0.197183099,0.177777778,0.24,0.25,0.25,0.5,0.352941176,0.294117647,1,1,5,4,5,5,1,5
10594,0.314814815,0.333333333,0.48,0.510204082,0.416666667,0.423076923,0.547945205,0.576923077,4,4,2,1,1,4,4,1
15925,0.384615385,0.3125,0.305555556,0.301587302,0.444444444,0.5125,0.461538462,0.394736842,2,3,4,3,2,2,1,3
29081,0.790697674,0.709677419,0.47826087,0.628571429,0.555555556,0.848484848,0.733333333,0.764705882,3,5,3,0,3,2,3,2
96908,0.304347826,0.342857143,0.4,0.233333333,0.333333333,0.378378378,0.526315789,0.235294118,3,4,2,3,4,2,1,3
25293,0.451612903,0.346153846,0.391304348,0.483870968,0.625,0.4375,0.509803922,0.823529412,3,3,2,4,4,3,2,5
10549,0.2,0.192307692,0.235294118,0.235294118,0.222222222,0.384615385,0.295081967,0.421052632,1,1,1,3,3,3,3,1
51229,0.256410256,0.358208955,0.388888889,0.253968254,0.428571429,0.419753086,0.316831683,0.419354839,3,4,5,2,3,5,2,1
63420,0.868421053,0.703703704,0.611111111,0.681818182,0.75,0.84375,0.807692308,0.666666667,3,4,4,4,3,3,4,4
22183,0.463414634,0.541666667,0.45,0.346153846,0.222222222,0.642857143,0.610169492,0.3125,2,4,2,4,2,2,2,2
19794,0.290909091,0.3,0.366666667,0.25,0.428571429,0.390625,0.448717949,0.44,4,4,4,3,3,4,3,3
14122,0.757575758,0.523809524,0.666666667,0.695652174,0.857142857,0.766666667,0.673913043,0.736842105,4,4,4,4,4,4,4,4
42216,0.319148936,0.483870968,0.346153846,0.375,0.6,0.444444444,0.6,0.56,3,4,5,3,4,3,2,4
76754,0.40625,0.409090909,0.416666667,0.37037037,0.5,0.481481481,0.642857143,0.6,3,3,4,4,4,3,3,4
39544,0.319148936,0.35483871,0.423076923,0.333333333,0.416666667,0.348837209,0.475409836,0.47826087,3,3,3,3,3,3,3,3
33691,0.322033898,0.380952381,0.378378378,0.384615385,0.416666667,0.369565217,0.542168675,0.484848485,4,4,4,4,4,4,4,4
85157,0.277777778,0.421052632,0.416666667,0.347826087,0.454545455,0.442307692,0.430555556,0.47826087,4,5,5,5,4,5,1,5
92673,0.702702703,0.6,0.590909091,0.542857143,0.666666667,0.722222222,0.784313725,0.666666667,3,3,3,3,4,4,3,3
54323,0.32,0.333333333,0.5,0.375,0.375,0.368421053,0.392857143,0.454545455,5,5,5,5,5,5,5,5
91008,0.19047619,0.137931034,0.222222222,0.318181818,0.272727273,0.447368421,0.36,0.285714286,4,3,3,4,4,2,2,3
14500,0.270833333,0.413043478,0.36,0.29787234,0.555555556,0.465517241,0.376811594,0.5,3,3,3,4,3,4,3,3
31242,0.285714286,0.35,0.421052632,0.44,0.3,0.407407407,0.5,0.4,2,5,5,5,5,5,5,5
78565,0.196969697,0.113636364,0.25,0.31372549,0.285714286,0.229508197,0.19047619,0.34375,3,3,3,3,3,3,3,3
33410,0.288135593,0.416666667,0.28,0.25,0.3,0.537037037,0.478873239,0.347826087,3,4,4,4,3,4,3,4
16976,0.780487805,0.8,0.647058824,0.769230769,0.888888889,0.828571429,0.849056604,0.666666667,2,4,3,4,4,2,4,4
23706,0.35,0.466666667,0.642857143,0.4,0.571428571,0.388888889,0.666666667,0.7,3,3,3,3,3,3,3,3
14361,0.486486486,0.458333333,0.523809524,0.5,0.615384615,0.512820513,0.593220339,0.681818182,2,1,1,2,2,2,2,2
24987,0.377777778,0.333333333,0.37037037,0.318181818,0.5,0.325581395,0.37704918,0.482758621,2,2,4,4,4,5,5,5
87000,0.34,0.393939394,0.227272727,0.341463415,0.6,0.481481481,0.35,0.5,2,4,2,3,3,4,3,4
70644,0.307692308,0.360465116,0.30952381,0.292682927,0.411764706,0.37254902,0.377777778,0.512195122,4,4,2,4,4,4,2,3
61638,0.742857143,0.777777778,0.65,0.807692308,0.888888889,0.806451613,0.844444444,0.736842105,4,4,3,5,3,4,3,4
96557,0.223880597,0.209302326,0.214285714,0.139534884,0.375,0.25862069,0.279069767,0.315789474,5,5,5,5,5,5,3,5
12386,0.857142857,0.906976744,0.793103448,0.814814815,0.923076923,0.927272727,0.9375,0.875,5,5,5,5,5,5,5,5
84685,0.5,0.181818182,0.454545455,0.6,0.333333333,0.5,0.5,0.7,4,3,4,3,4,4,4,3
18884,0.333333333,0.342105263,0.35483871,0.367346939,0.466666667,0.307692308,0.458333333,0.517241379,3,3,3,3,3,3,3,3
74101,0.744680851,0.709677419,0.75,0.8,0.727272727,0.861111111,0.866666667,0.681818182,3,4,3,4,4,3,2,4
66928,0.411764706,0.511627907,0.419354839,0.391304348,0.333333333,0.489795918,0.633802817,0.571428571,3,5,5,5,5,3,4,5
68639,0.230769231,0.058823529,0,0.28,0.375,0.142857143,0.411764706,0.166666667,4,4,5,5,5,5,5,5
27680,0.303030303,0.363636364,0.333333333,0.344827586,0.625,0.275862069,0.43902439,0.5625,5,5,5,5,5,5,5,5
69738,0.224489796,0.195121951,0.206896552,0.340909091,0.545454545,0.394736842,0.402777778,0.48,2,2,3,2,2,2,2,2
94397,0.25862069,0.285714286,0.222222222,0.319148936,0.333333333,0.236363636,0.24691358,0.448275862,2,4,4,4,2,4,2,2
83527,0.288461538,0.351351351,0.318181818,0.292682927,0.166666667,0.490566038,0.351351351,0.380952381,3,4,5,3,4,4,3,4
73931,0.373333333,0.357142857,0.258064516,0.305555556,0.181818182,0.613636364,0.431192661,0.441176471,4,3,3,2,3,4,4,3
86777,0.84,0.769230769,0.76,0.918918919,0.692307692,0.913043478,0.919354839,0.84,3,3,5,2,4,4,2,4
66914,0.333333333,0.4375,0.444444444,0.46875,0.555555556,0.4,0.622641509,0.473684211,2,1,2,2,2,4,1,4
37706,0.289473684,0.357142857,0.35,0.294117647,0.4,0.435897436,0.384615385,0.473684211,3,4,2,4,4,5,3,4
27081,0.266666667,0.394736842,0.333333333,0.421052632,0.5,0.465116279,0.424242424,0.380952381,3,3,4,4,3,3,2,3
15759,0.321428571,0.2,0.333333333,0.368421053,0.444444444,0.173913043,0.4375,0.416666667,5,5,5,3,5,4,3,5
82530,0.5,0.294117647,0.4,0.52173913,0.333333333,0.423076923,0.595238095,0.705882353,4,4,4,4,4,4,4,4
65340,0.352941176,0.375,0.25,0.611111111,0.375,0.25,0.56,0.555555556,3,4,3,3,3,2,3,3
25227,0.288888889,0.297297297,0.375,0.352941176,0.375,0.441860465,0.5125,0.444444444,1,1,1,1,1,1,1,1
72568,0.238095238,0.303030303,0.264705882,0.285714286,0.388888889,0.421686747,0.43220339,0.435897436,4,4,4,3,4,4,3,4
87973,0.358974359,0.222222222,0.421052632,0.4,0.454545455,0.375,0.481481481,0.5625,1,2,5,5,4,1,1,5
29674,0.384615385,0.227272727,0.3,0.448275862,0.375,0.371428571,0.5,0.545454545,2,2,2,2,2,2,2,2
37488,0.192982456,0.377777778,0.454545455,0.3,0.5,0.403508772,0.536585366,0.4,5,4,3,2,3,4,3,3
12311,0.36,0.371428571,0.36,0.342105263,0.538461538,0.463414634,0.491803279,0.454545455,3,4,4,4,4,4,4,4
69936,0.30952381,0.290322581,0.4,0.366666667,0.363636364,0.390243902,0.317460317,0.5,4,5,4,4,5,5,3,5
17852,0.793103448,0.666666667,0.6875,0.607142857,1,0.724137931,0.785714286,0.666666667,3,3,3,2,2,4,2,3
41402,0.303797468,0.34375,0.276595745,0.275362319,0.333333333,0.432432432,0.434108527,0.40625,3,5,4,5,2,3,2,3
74978,0.541666667,0.266666667,0.454545455,0.434782609,0.444444444,0.5,0.444444444,0.333333333,2,2,4,4,4,4,4,4
98138,0.826086957,0.757575758,0.7,0.666666667,0.909090909,0.777777778,0.85483871,0.7,5,5,5,5,5,5,5,5
71890,0.30952381,0.424242424,0.44,0.384615385,0.4,0.613636364,0.47826087,0.6,5,4,4,4,4,5,5,2
55070,0.264367816,0.356164384,0.285714286,0.235294118,0.277777778,0.405940594,0.340740741,0.414634146,2,4,2,4,2,2,2,2
37803,0.37037037,0.357142857,0.230769231,0.35,0.333333333,0.421052632,0.535714286,0.4,4,4,4,4,4,4,4,4
41188,0.405405405,0.260869565,0.380952381,0.424242424,0.384615385,0.514285714,0.444444444,0.555555556,3,3,3,3,3,3,3,3
79771,0.255813953,0.21875,0.384615385,0.285714286,0.333333333,0.425,0.270833333,0.333333333,3,5,4,5,5,5,4,5
37720,0.375,0.258064516,0.346153846,0.386363636,0.461538462,0.452380952,0.466666667,0.533333333,3,4,2,4,4,4,4,3
71328,0.272727273,0.428571429,0.285714286,0.365853659,0.416666667,0.527777778,0.592592593,0.391304348,3,3,3,3,3,4,3,3
58982,0.228571429,0.357142857,0.421052632,0.3,0.25,0.40625,0.4375,0.235294118,2,5,5,4,5,2,2,3
72489,0.279069767,0.230769231,0.25,0.243243243,0.285714286,0.416666667,0.408450704,0.315789474,3,3,4,4,4,3,1,3
44333,0.318181818,0.461538462,0.5,0.388888889,0.5,0.142857143,0.457142857,0.777777778,4,5,5,4,4,4,4,5
37553,0.458333333,0.266666667,0.272727273,0.444444444,0.5,0.391304348,0.379310345,0.555555556,3,4,4,3,4,4,3,4
84117,0.315789474,0.4,0.428571429,0.29787234,0.454545455,0.333333333,0.383561644,0.387096774,2,4,3,4,3,3,3,3
89691,0.322580645,0.4,0.457142857,0.339622642,0.357142857,0.549019608,0.414634146,0.357142857,1,1,1,1,1,1,1,1
52757,0.266666667,0.25,0.285714286,0.320754717,0.333333333,0.396226415,0.44047619,0.419354839,2,4,3,4,4,4,3,2
99400,0.45,0.5625,0.5,0.373333333,0.733333333,0.518518519,0.504273504,0.535714286,1,3,1,2,3,1,2,3
16888,0.451219512,0.641791045,0.387755102,0.416666667,0.357142857,0.652173913,0.618320611,0.548387097,2,2,2,2,2,2,2,2
50970,0.311111111,0.470588235,0.266666667,0.318181818,0.4,0.363636364,0.462686567,0.555555556,4,5,5,3,4,5,2,4
87492,0.4,0.466666667,0.476190476,0.552631579,0.545454545,0.461538462,0.535714286,0.592592593,4,5,5,5,3,5,2,4
36966,0.315789474,0.315789474,0.285714286,0.309090909,0.461538462,0.465517241,0.454545455,0.482758621,2,2,1,3,2,3,2,4
64440,0.382352941,0.347826087,0.409090909,0.4375,0.5,0.433333333,0.466666667,0.571428571,2,2,2,2,2,2,2,2
90764,0.697368421,0.580645161,0.5,0.515625,0.5,0.781609195,0.67768595,0.692307692,4,5,2,4,4,5,3,5
11719,0.310344828,0.458333333,0.333333333,0.407407407,0.625,0.392857143,0.538461538,0.555555556,3,3,4,2,3,4,1,4
28230,0.239130435,0.302325581,0.259259259,0.242424242,0.363636364,0.466666667,0.309859155,0.238095238,3,4,3,4,4,4,2,4
73757,0.333333333,0.282051282,0.25,0.32,0.454545455,0.5,0.476923077,0.481481481,5,5,5,3,4,5,3,3
22948,0.388888889,0.32,0.263157895,0.384615385,0.4,0.533333333,0.346153846,0.4,4,4,4,4,4,5,3,5
45895,0.326923077,0.416666667,0.5,0.348837209,0.4375,0.4375,0.453125,0.583333333,2,3,3,1,2,3,1,3
45257,0.272727273,0.305555556,0.384615385,0.488372093,0.416666667,0.358974359,0.493670886,0.454545455,0,5,5,0,0,5,0,5
49331,0.255813953,0.081081081,0.192307692,0.2,0.375,0.5,0.220588235,0.4,5,4,5,4,4,5,5,5
12323,0.231707317,0.257575758,0.285714286,0.267605634,0.277777778,0.476744186,0.435897436,0.448275862,3,4,3,4,4,5,2,3
98499,0.73015873,0.74,0.617647059,0.655172414,0.846153846,0.740740741,0.777777778,0.740740741,3,3,4,3,4,4,4,4
13096,0.419354839,0.384615385,0.75,0.428571429,0.333333333,0.523809524,0.55,0.384615385,2,2,2,2,2,3,2,3
71705,0.166666667,0.245614035,0.133333333,0.24,0.461538462,0.590909091,0.291666667,0.272727273,3,3,4,4,3,4,4,3
99812,0.297297297,0.272727273,0.2,0.272727273,0.25,0.4,0.326530612,0.307692308,2,4,4,4,2,2,4,4
86304,0.785714286,0.764705882,0.916666667,0.892857143,0.857142857,0.947368421,0.930232558,0.789473684,5,1,1,1,1,5,5,5
57599,0.276595745,0.25,0.235294118,0.352941176,0.4,0.5,0.369230769,0.555555556,2,3,2,4,4,2,2,4
17730,0.268292683,0.451612903,0.315789474,0.255319149,0.444444444,0.4,0.482758621,0.476190476,2,1,2,2,2,2,1,2
47702,0.634146341,0.553571429,0.571428571,0.623376623,0.611111111,0.716216216,0.756756757,0.722222222,3,4,4,3,3,4,3,2
52304,0.795454545,0.833333333,0.681818182,0.769230769,0.8,0.825,0.890909091,0.791666667,4,4,4,3,4,4,3,3
93539,0.283018868,0.333333333,0.384615385,0.276595745,0.363636364,0.44,0.367647059,0.481481481,3,3,4,5,5,2,2,4
25088,0.391304348,0.4,0.296296296,0.347826087,0.454545455,0.47826087,0.634920635,0.5,2,5,4,4,4,2,1,4
24815,0.298701299,0.3125,0.303030303,0.316666667,0.375,0.506493506,0.401960784,0.444444444,3,3,4,4,4,4,4,4
14600,0.253731343,0.333333333,0.323529412,0.285714286,0.416666667,0.362318841,0.329545455,0.4375,4,4,5,4,2,1,1,2
71392,0.314814815,0.510638298,0.407407407,0.319148936,0.555555556,0.549019608,0.5,0.5,3,3,4,3,4,4,4,4
34758,0.333333333,0.574074074,0.535714286,0.322580645,0.583333333,0.463768116,0.577777778,0.5,5,5,5,5,5,5,5,5
27932,0.469387755,0.342105263,0.307692308,0.411764706,0.230769231,0.52173913,0.423728814,0.45,2,4,2,2,4,2,2,2
37041,0.307692308,0.137931034,0.3,0.322580645,0.333333333,0.552631579,0.369565217,0.470588235,4,3,5,3,3,3,2,3
13257,0.285714286,0.301886792,0.333333333,0.296296296,0.5,0.483333333,0.4375,0.428571429,3,3,3,3,3,2,2,3
71825,0.524271845,0.47826087,0.475,0.444444444,0.529411765,0.717948718,0.537414966,0.583333333,1,4,1,1,1,1,1,1
16707,0.261904762,0.363636364,0.45,0.216216216,0.4,0.483870968,0.5625,0.388888889,3,3,3,5,3,3,3,3
32689,0.261538462,0.395833333,0.307692308,0.290322581,0.545454545,0.442622951,0.40625,0.538461538,3,4,4,3,2,3,1,4
89375,0.464285714,0.722222222,0.696969697,0.526315789,0.571428571,0.764705882,0.696969697,0.583333333,2,2,2,2,2,2,2,2
42764,0.6,0.56097561,0.517241379,0.88,0.615384615,0.565217391,0.626666667,0.703703704,2,2,3,4,4,3,2,4
85316,0.304347826,0.333333333,0.352941176,0.47826087,0.545454545,0.428571429,0.454545455,0.571428571,3,4,4,3,4,4,2,3
41468,0.257142857,0.16,0.272727273,0.322580645,0.428571429,0.435483871,0.346938776,0.538461538,5,5,5,5,5,5,5,5
18957,0.333333333,0.133333333,0.4,0.4,0.285714286,0.571428571,0.512820513,0.384615385,4,4,4,4,4,4,2,4
