TurkerID,randomint,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A2B227N1NQYS56,30922,15,19,17,22,19,28,6,13,9,8,10,10,8,20,2,7,0.6,0.421052632,0.588235294,0.454545455,0.421052632,0.714285714,0.333333333,0,0.538461538,3,4,4,2,2,2,1,3,2
AZZA3J049G7R5,22488,14,20,18,32,33,40,9,13,8,9,8,14,10,21,3,6,0.571428571,0.45,0.444444444,0.4375,0.303030303,0.525,0.333333333,0,0.461538462,2,4,5,2,5,2,5,5,5
AAQREZOK13OV7,90728,13,30,18,34,22,43,6,19,5,12,3,13,11,10,3,12,0.384615385,0.4,0.166666667,0.382352941,0.5,0.23255814,0.5,0,0.631578947,2,4,2,5,5,2,1,2,4
A2BP8SSKYDZZ64,38371,32,63,57,68,53,92,13,28,17,37,24,22,19,47,7,15,0.53125,0.587301587,0.421052632,0.323529412,0.358490566,0.510869565,0.538461538,0,0.535714286,2,5,2,2,4,4,2,4,4
A3S5ZB4D98JWT1,96540,28,59,41,60,57,75,13,26,9,14,9,14,15,23,5,10,0.321428571,0.237288136,0.219512195,0.233333333,0.263157895,0.306666667,0.384615385,0,0.384615385,3,4,4,4,3,4,2,2,2
A2SE5QBXBBDL3N,56980,35,65,49,67,67,108,14,34,10,28,16,19,15,50,5,11,0.285714286,0.430769231,0.326530612,0.28358209,0.223880597,0.462962963,0.357142857,0,0.323529412,4,3,2,4,3,2,3,4,2
A1378TVZLWPT2Z,92984,23,47,34,47,44,60,10,28,9,18,14,18,19,28,6,16,0.391304348,0.382978723,0.411764706,0.382978723,0.431818182,0.466666667,0.6,0,0.571428571,2,5,5,5,5,2,2,2,2
A14WLAP6TCEKO0,94095,20,30,26,40,26,54,10,12,6,10,2,14,14,22,8,8,0.3,0.333333333,0.076923077,0.35,0.538461538,0.407407407,0.8,0,0.666666667,1,4,3,1,4,5,3,3,1
A3586AZAAHFYBX,10624,23,48,31,51,45,61,9,26,9,14,16,16,16,33,5,14,0.391304348,0.291666667,0.516129032,0.31372549,0.355555556,0.540983607,0.555555556,0,0.538461538,4,4,3,3,3,2,1,2,2
A3LL096CAY5WHB,36743,20,36,31,41,35,67,8,19,9,12,13,14,15,40,3,8,0.45,0.333333333,0.419354839,0.341463415,0.428571429,0.597014925,0.375,0,0.421052632,4,4,4,4,4,4,4,4,4
A1RN7D103KUVQ1,76461,30,66,50,68,70,96,14,29,11,27,14,21,18,40,5,13,0.366666667,0.409090909,0.28,0.308823529,0.257142857,0.416666667,0.357142857,0,0.448275862,3,3,3,3,3,3,3,3,3
AAGP5VATPK8N2,90890,36,65,57,74,55,93,12,28,10,17,13,12,15,28,4,11,0.277777778,0.261538462,0.228070175,0.162162162,0.272727273,0.301075269,0.333333333,0,0.392857143,2,2,3,2,2,3,1,2,2
A2RH621WK2VZJ0,62521,32,58,48,59,51,83,14,27,8,16,7,13,13,21,6,10,0.25,0.275862069,0.145833333,0.220338983,0.254901961,0.253012048,0.428571429,0,0.37037037,3,3,3,3,3,3,3,3,3
A141N2XGQXKPME,48359,19,38,26,44,35,45,10,24,7,11,9,16,15,18,3,14,0.368421053,0.289473684,0.346153846,0.363636364,0.428571429,0.4,0.3,0,0.583333333,4,2,5,4,3,4,5,3,4
A2W55J9T0JDP2O,36848,63,104,91,107,96,177,17,47,16,27,25,18,18,36,5,10,0.253968254,0.259615385,0.274725275,0.168224299,0.1875,0.203389831,0.294117647,0,0.212765957,5,5,5,5,5,5,5,5,5
A1CYSGVB90E67S,88829,36,62,57,66,56,99,12,34,13,28,25,22,21,57,6,18,0.361111111,0.451612903,0.438596491,0.333333333,0.375,0.575757576,0.5,0,0.529411765,5,4,3,4,4,3,3,2,3
A3OSOGJTD4XD9U,98405,31,51,39,56,48,75,10,26,14,18,15,21,21,41,5,14,0.451612903,0.352941176,0.384615385,0.375,0.4375,0.546666667,0.5,0,0.538461538,4,5,4,4,4,5,4,3,5
A2LAWUYEMWODHH,35983,41,61,50,65,61,85,13,31,19,36,34,47,32,55,6,21,0.463414634,0.590163934,0.68,0.723076923,0.524590164,0.647058824,0.461538462,0,0.677419355,3,4,3,3,4,3,3,3,3
A3L2UB07EZJAMD,86140,19,38,21,41,30,53,7,23,13,32,14,36,27,44,6,20,0.684210526,0.842105263,0.666666667,0.87804878,0.9,0.830188679,0.857142857,0,0.869565217,2,2,2,4,2,2,2,2,2
A5YVMQWA2IYPF,52227,20,36,27,37,31,43,9,17,5,12,4,10,8,13,2,6,0.25,0.333333333,0.148148148,0.27027027,0.258064516,0.302325581,0.222222222,0,0.352941176,1,1,1,3,3,4,2,4,4
A3VHDQR8A9JJ4F,90787,15,32,20,30,28,37,9,14,7,14,4,11,9,13,2,4,0.466666667,0.4375,0.2,0.366666667,0.321428571,0.351351351,0.222222222,0,0.285714286,4,5,4,2,3,3,2,3,3
A3SMP47XOFZHSW,26552,21,34,24,39,30,51,8,16,17,30,22,33,25,46,8,13,0.80952381,0.882352941,0.916666667,0.846153846,0.833333333,0.901960784,1,0,0.8125,2,2,4,4,4,4,2,4,4
A1POXSCJ9XAV74,46901,34,77,55,79,58,114,13,29,8,20,13,16,16,34,6,16,0.235294118,0.25974026,0.236363636,0.202531646,0.275862069,0.298245614,0.461538462,0,0.551724138,4,5,5,5,4,5,4,5,5
A1RDQFNF6LD25Z,84932,16,29,23,33,23,39,10,13,7,13,10,13,11,20,5,7,0.4375,0.448275862,0.434782609,0.393939394,0.47826087,0.512820513,0.5,0,0.538461538,3,3,3,3,3,3,3,3,3
A133QG754CGS3I,45846,24,35,31,46,32,58,13,15,16,21,21,34,20,48,11,7,0.666666667,0.6,0.677419355,0.739130435,0.625,0.827586207,0.846153846,0,0.466666667,4,5,5,5,5,5,3,3,5
A3ANNQ73J8M158,92776,27,39,39,48,31,63,9,16,8,8,11,10,7,22,3,5,0.296296296,0.205128205,0.282051282,0.208333333,0.225806452,0.349206349,0.333333333,0,0.3125,4,3,1,3,2,3,2,2,1
A1W7QLLENVP2AE,14068,33,54,36,53,45,81,14,24,25,49,25,44,36,66,12,20,0.757575758,0.907407407,0.694444444,0.830188679,0.8,0.814814815,0.857142857,0,0.833333333,3,4,2,2,3,3,3,3,3
A1TTFE7OTLIJW8,83419,19,38,32,43,26,59,8,17,6,22,11,16,9,30,4,8,0.315789474,0.578947368,0.34375,0.372093023,0.346153846,0.508474576,0.5,0,0.470588235,2,3,3,4,3,4,4,3,4
A2HHKBW8HQWI66,69196,23,34,30,36,27,48,9,18,6,13,6,13,9,13,4,5,0.260869565,0.382352941,0.2,0.361111111,0.333333333,0.270833333,0.444444444,0,0.277777778,4,4,4,5,5,2,2,2,5
A1TARNH07A75CG,50359,9,18,9,23,18,33,6,13,4,6,1,9,10,12,2,7,0.444444444,0.333333333,0.111111111,0.391304348,0.555555556,0.363636364,0.333333333,0,0.538461538,3,3,5,3,3,3,1,3,3
A3DFJV1RD653DQ,19339,28,50,41,61,48,79,16,28,15,23,18,24,20,48,8,11,0.535714286,0.46,0.43902439,0.393442623,0.416666667,0.607594937,0.5,0,0.392857143,4,3,4,4,4,3,2,2,4
A2YP60DM1HYTH8,32790,21,36,30,38,33,48,10,19,9,15,11,11,11,23,6,9,0.428571429,0.416666667,0.366666667,0.289473684,0.333333333,0.479166667,0.6,0,0.473684211,4,5,5,0,4,5,5,3,3
A2M6URTK6WO6XJ,44520,18,27,23,35,30,49,7,14,7,6,6,12,8,21,4,7,0.388888889,0.222222222,0.260869565,0.342857143,0.266666667,0.428571429,0.571428571,0,0.5,3,4,3,4,0,3,4,5,4
AVQGY7FCU80XP,99022,17,36,26,40,31,58,7,15,4,11,4,14,10,17,3,7,0.235294118,0.305555556,0.153846154,0.35,0.322580645,0.293103448,0.428571429,0,0.466666667,4,4,5,4,5,5,4,5,4
A10299EPNHZ504,35955,20,32,20,31,32,43,10,19,6,13,5,9,12,18,3,7,0.3,0.40625,0.25,0.290322581,0.375,0.418604651,0.3,0,0.368421053,2,3,3,2,3,3,2,3,3
A22X2R4KD7YCOC,29927,51,75,62,92,84,179,19,37,27,46,41,59,49,107,12,23,0.529411765,0.613333333,0.661290323,0.641304348,0.583333333,0.597765363,0.631578947,0,0.621621622,3,4,5,4,4,3,3,2,5
A1G2U62KJ13ZF0,59401,18,25,24,33,27,39,8,16,7,10,7,10,10,22,4,8,0.388888889,0.4,0.291666667,0.303030303,0.37037037,0.564102564,0.5,0,0.5,3,3,3,3,3,3,3,3,3
A2P76QVLSGJR45,89436,20,34,27,36,25,41,10,17,8,16,10,12,9,19,5,8,0.4,0.470588235,0.37037037,0.333333333,0.36,0.463414634,0.5,0,0.470588235,4,4,4,4,4,4,4,4,4
A2INXY39KBM92F,49584,17,25,24,34,22,37,9,11,8,22,17,22,15,25,6,7,0.470588235,0.88,0.708333333,0.647058824,0.681818182,0.675675676,0.666666667,0,0.636363636,4,4,5,4,5,5,3,3,5
A1IBVWKNX3OKK7,23672,10,22,15,24,22,31,6,10,8,10,7,10,10,19,5,8,0.8,0.454545455,0.466666667,0.416666667,0.454545455,0.612903226,0.833333333,0,0.8,2,4,4,4,0,4,4,2,4
A1DF95UHU5JH4Q,12966,16,38,21,40,32,48,10,18,7,16,6,10,10,16,3,8,0.4375,0.421052632,0.285714286,0.25,0.3125,0.333333333,0.3,0,0.444444444,4,4,5,5,4,4,5,4,5
A1SIUJEL2LS8UO,52362,26,36,36,48,44,57,15,26,9,21,13,17,16,30,5,14,0.346153846,0.583333333,0.361111111,0.354166667,0.363636364,0.526315789,0.333333333,0,0.538461538,5,4,2,4,2,5,3,2,5
A21KGSK2BDVWOA,76477,21,38,27,42,39,53,11,23,9,21,13,18,15,31,5,14,0.428571429,0.552631579,0.481481481,0.428571429,0.384615385,0.58490566,0.454545455,0,0.608695652,3,5,5,5,0,5,5,5,5
A1Z2PN56VHHKNM,46283,22,37,31,40,38,56,10,20,9,16,10,15,14,20,4,10,0.409090909,0.432432432,0.322580645,0.375,0.368421053,0.357142857,0.4,0,0.5,4,4,5,3,5,3,3,2,4
A1E235KE3CSO7H,64853,42,75,56,71,64,107,15,28,16,26,23,16,19,50,7,12,0.380952381,0.346666667,0.410714286,0.225352113,0.296875,0.46728972,0.466666667,0,0.428571429,3,3,3,3,3,3,3,3,3
A1S9EY8YUIGDYV,30193,50,58,51,74,56,124,12,29,16,31,25,33,23,70,6,15,0.32,0.534482759,0.490196078,0.445945946,0.410714286,0.564516129,0.5,0,0.517241379,3,4,4,3,3,2,3,3,3
A2COAUZ1TISD2Q,33310,31,52,38,56,54,71,13,23,10,18,11,16,13,25,6,10,0.322580645,0.346153846,0.289473684,0.285714286,0.240740741,0.352112676,0.461538462,0,0.434782609,5,5,5,5,5,1,1,1,1
A2m6tjir21bn2w,36850,22,39,28,43,43,51,10,21,8,14,7,15,13,26,4,10,0.363636364,0.358974359,0.25,0.348837209,0.302325581,0.509803922,0.4,0,0.476190476,4,3,4,2,2,4,1,3,4
AAEZQL4J6CQGM,95330,17,33,20,35,26,45,8,18,5,15,7,13,11,25,3,8,0.294117647,0.454545455,0.35,0.371428571,0.423076923,0.555555556,0.375,0,0.444444444,4,4,4,4,4,4,4,4,4
A1ZM4MGF3PDJ0M,23172,31,55,42,61,63,83,12,26,18,38,28,42,35,57,9,19,0.580645161,0.690909091,0.666666667,0.68852459,0.555555556,0.686746988,0.75,0,0.730769231,5,5,5,5,5,5,1,5,5
A1XUZFDVKP95VC,47486,27,50,44,52,46,71,13,26,15,28,23,18,17,46,6,11,0.555555556,0.56,0.522727273,0.346153846,0.369565217,0.647887324,0.461538462,0,0.423076923,3,3,3,3,3,3,3,3,3
A1J6Z70T78B35V,98648,15,23,21,27,24,39,10,14,7,14,13,13,12,29,6,7,0.466666667,0.608695652,0.619047619,0.481481481,0.5,0.743589744,0.6,0,0.5,3,5,4,2,4,4,2,4,4
A1KTPYX40PRLVW,11896,25,64,45,71,44,85,16,17,6,32,8,14,11,30,4,5,0.24,0.5,0.177777778,0.197183099,0.25,0.352941176,0.25,0,0.294117647,1,1,5,4,5,5,1,3,5
A2XSAZ0Y6HPDQA,10594,25,52,42,54,49,73,12,26,12,22,14,17,25,40,5,15,0.48,0.423076923,0.333333333,0.314814815,0.510204082,0.547945205,0.416666667,0,0.576923077,4,4,2,1,1,4,4,1,1
A12BTFPKFKKD2I,15925,36,80,64,78,63,104,18,38,11,41,20,30,19,48,8,15,0.305555556,0.5125,0.3125,0.384615385,0.301587302,0.461538462,0.444444444,0,0.394736842,2,3,4,3,2,2,1,2,3
A1PUHCEBSOWETV,29081,23,33,31,43,35,60,9,17,11,28,22,34,22,44,5,13,0.47826087,0.848484848,0.709677419,0.790697674,0.628571429,0.733333333,0.555555556,0,0.764705882,3,5,3,0,3,2,3,3,2
A1WOCD9SAYI07V,96908,20,37,35,46,30,57,9,17,8,14,12,14,7,30,3,4,0.4,0.378378378,0.342857143,0.304347826,0.233333333,0.526315789,0.333333333,0,0.235294118,3,4,2,3,4,2,1,1,3
A3RVHUY67SVXQV,25293,23,32,26,31,31,51,8,17,9,14,9,14,15,26,5,14,0.391304348,0.4375,0.346153846,0.451612903,0.483870968,0.509803922,0.625,0,0.823529412,3,3,2,4,4,3,2,3,5
A1YTHGG0S2IJWZ,10549,17,39,26,50,34,61,9,19,4,15,5,10,8,18,2,8,0.235294118,0.384615385,0.192307692,0.2,0.235294118,0.295081967,0.222222222,0,0.421052632,1,1,1,3,3,3,3,1,1
A2REJHHCX9OHFI,51229,36,81,67,78,63,101,14,31,14,34,24,20,16,32,6,13,0.388888889,0.419753086,0.358208955,0.256410256,0.253968254,0.316831683,0.428571429,0,0.419354839,3,4,5,2,3,5,2,1,1
A10VYQMVSHNFCV,63420,18,32,27,38,22,52,8,12,11,27,19,33,15,42,6,8,0.611111111,0.84375,0.703703704,0.868421053,0.681818182,0.807692308,0.75,0,0.666666667,3,4,4,4,3,3,4,4,4
A1RVMADIZE3BXK,22183,20,28,24,41,26,59,9,16,9,18,13,19,9,36,2,5,0.45,0.642857143,0.541666667,0.463414634,0.346153846,0.610169492,0.222222222,0,0.3125,2,4,2,4,2,2,2,2,2
A2ECXGDFC0NJEL,19794,30,64,40,55,56,78,14,25,11,25,12,16,14,35,6,11,0.366666667,0.390625,0.3,0.290909091,0.25,0.448717949,0.428571429,0,0.44,4,4,4,3,3,4,3,3,3
A1IMXNDHFHG2IE,14122,18,30,21,33,23,46,7,19,12,23,11,25,16,31,6,14,0.666666667,0.766666667,0.523809524,0.757575758,0.695652174,0.673913043,0.857142857,0,0.736842105,4,4,4,4,4,4,4,4,4
A1AGPPFSUSJSZN,42216,26,36,31,47,40,55,10,25,9,16,15,15,15,33,6,14,0.346153846,0.444444444,0.483870968,0.319148936,0.375,0.6,0.6,0,0.56,3,4,5,3,4,3,2,5,4
a3orzpmvivngjs,76754,12,27,22,32,27,42,8,15,5,13,9,13,10,27,4,9,0.416666667,0.481481481,0.409090909,0.40625,0.37037037,0.642857143,0.5,0,0.6,3,3,4,4,4,3,3,3,4
A1RCP3YTL0TE7W,39544,26,43,31,47,42,61,12,23,11,15,11,15,14,29,5,11,0.423076923,0.348837209,0.35483871,0.319148936,0.333333333,0.475409836,0.416666667,0,0.47826087,3,3,3,3,3,3,3,3,3
A285E5FTA8GGID,33691,37,46,42,59,52,83,12,33,14,17,16,19,20,45,5,16,0.378378378,0.369565217,0.380952381,0.322033898,0.384615385,0.542168675,0.416666667,0,0.484848485,4,4,4,4,4,4,4,4,4
AZJKB1D4AFMQY,85157,24,52,38,54,46,72,11,23,10,23,16,15,16,31,5,11,0.416666667,0.442307692,0.421052632,0.277777778,0.347826087,0.430555556,0.454545455,0,0.47826087,4,5,5,5,4,5,1,5,5
A3TBOHEHKXYV6C,92673,22,36,30,37,35,51,9,18,13,26,18,26,19,40,6,12,0.590909091,0.722222222,0.6,0.702702703,0.542857143,0.784313725,0.666666667,0,0.666666667,3,3,3,3,4,4,3,3,3
A2DZ90CLYIB2BA,54323,12,19,15,25,16,28,8,11,6,7,5,8,6,11,3,5,0.5,0.368421053,0.333333333,0.32,0.375,0.392857143,0.375,0,0.454545455,5,5,5,5,5,5,5,5,5
A22EDUBB602EJD,91008,18,38,29,42,22,50,11,14,4,17,4,8,7,18,3,4,0.222222222,0.447368421,0.137931034,0.19047619,0.318181818,0.36,0.272727273,0,0.285714286,4,3,3,4,4,2,2,3,3
