TurkerID,number of apps requested microphone,number of apps requested location,number of apps requested camera,number of apps requested contacts,number of apps requested phone,number of apps requested storage,number of apps requested calendar,number of apps requested sensor,number of apps requested sms,number of apps granted microphone,number of apps granted location,number of apps granted camera,number of apps granted contacts,number of apps granted phone,number of apps granted storage,number of apps granted calendar,number of apps granted sensor,number of apps granted sms,fraction of apps granted microphone,fraction of apps granted location,fraction of apps granted camera,fraction of apps granted contacts,fraction of apps granted phone,fraction of apps granted storage,fraction of apps granted calendar,fraction of apps granted sensor,fraction of apps granted sms
A1POXSCJ9XAV74,35,81,61,82,62,122,13,1,29,9,24,19,19,20,42,6,0,16,0.257142857,0.296296296,0.31147541,0.231707317,0.322580645,0.344262295,0.461538462,0,0.551724138
A1FQK51ECARQNK,12,15,9,20,24,40,5,0,11,6,8,4,16,15,24,3,0,7,0.5,0.533333333,0.444444444,0.8,0.625,0.6,0.6,0,0.636363636
A1RDQFNF6LD25Z,17,33,25,36,25,43,10,0,14,8,17,12,16,13,24,5,0,8,0.470588235,0.515151515,0.48,0.444444444,0.52,0.558139535,0.5,0,0.571428571
A133QG754CGS3I,28,39,35,51,38,65,13,0,18,20,25,25,39,26,55,11,0,10,0.714285714,0.641025641,0.714285714,0.764705882,0.684210526,0.846153846,0.846153846,0,0.555555556
AB7LYMORLR5H0,1,2,2,2,2,2,0,0,2,0,1,0,0,1,1,0,0,1,0,0.5,0,0,0.5,0.5,0,0,0.5
A3ANNQ73J8M158,32,43,44,52,37,71,9,1,19,13,12,16,14,13,30,3,0,8,0.40625,0.279069767,0.363636364,0.269230769,0.351351351,0.422535211,0.333333333,0,0.421052632
A1W7QLLENVP2AE,35,59,38,56,50,87,14,2,25,27,54,27,47,41,72,12,1,21,0.771428571,0.915254237,0.710526316,0.839285714,0.82,0.827586207,0.857142857,0.5,0.84
A23EWFNNOUS10B,12,22,15,26,10,35,4,0,8,5,9,4,9,4,20,1,0,3,0.416666667,0.409090909,0.266666667,0.346153846,0.4,0.571428571,0.25,0,0.375
A1TTFE7OTLIJW8,24,45,36,48,34,71,8,0,19,11,29,15,21,17,42,4,0,10,0.458333333,0.644444444,0.416666667,0.4375,0.5,0.591549296,0.5,0,0.526315789
A2HHKBW8HQWI66,24,37,33,39,28,52,9,1,19,7,16,9,16,10,17,4,1,6,0.291666667,0.432432432,0.272727273,0.41025641,0.357142857,0.326923077,0.444444444,1,0.315789474
A3LIOY7C4ZDQ50,18,28,21,31,24,48,6,1,13,9,12,9,11,11,19,5,1,8,0.5,0.428571429,0.428571429,0.35483871,0.458333333,0.395833333,0.833333333,1,0.615384615
A1TARNH07A75CG,9,18,9,23,18,33,6,0,13,4,6,1,9,10,12,2,0,7,0.444444444,0.333333333,0.111111111,0.391304348,0.555555556,0.363636364,0.333333333,0,0.538461538
A3DFJV1RD653DQ,30,53,46,66,52,85,16,4,29,17,26,23,29,24,54,8,2,12,0.566666667,0.490566038,0.5,0.439393939,0.461538462,0.635294118,0.5,0.5,0.413793103
A2YP60DM1HYTH8,21,36,30,40,33,50,10,0,19,9,15,11,13,11,25,6,0,9,0.428571429,0.416666667,0.366666667,0.325,0.333333333,0.5,0.6,0,0.473684211
A2M6URTK6WO6XJ,19,28,24,36,32,52,7,1,14,8,7,7,13,10,24,4,0,7,0.421052632,0.25,0.291666667,0.361111111,0.3125,0.461538462,0.571428571,0,0.5
AVQGY7FCU80XP,18,38,27,41,32,62,7,0,15,5,13,5,15,11,21,3,0,7,0.277777778,0.342105263,0.185185185,0.365853659,0.34375,0.338709677,0.428571429,0,0.466666667
A10299EPNHZ504,20,32,20,31,32,43,10,0,19,6,13,5,9,12,18,3,0,7,0.3,0.40625,0.25,0.290322581,0.375,0.418604651,0.3,0,0.368421053
A22X2R4KD7YCOC,59,95,81,116,113,220,22,2,46,35,66,60,83,78,148,15,1,32,0.593220339,0.694736842,0.740740741,0.715517241,0.690265487,0.672727273,0.681818182,0.5,0.695652174
A1G2U62KJ13ZF0,18,25,24,33,27,40,8,1,16,7,10,7,10,10,23,4,1,8,0.388888889,0.4,0.291666667,0.303030303,0.37037037,0.575,0.5,1,0.5
A28O8I1SYFZO7A,20,29,27,40,31,50,5,0,12,10,14,9,18,12,25,4,0,5,0.5,0.482758621,0.333333333,0.45,0.387096774,0.5,0.8,0,0.416666667
A2P76QVLSGJR45,20,37,28,37,27,43,10,0,17,8,19,11,13,11,21,5,0,8,0.4,0.513513514,0.392857143,0.351351351,0.407407407,0.488372093,0.5,0,0.470588235
A2INXY39KBM92F,19,28,25,37,26,41,9,1,12,10,25,18,25,19,29,6,1,8,0.526315789,0.892857143,0.72,0.675675676,0.730769231,0.707317073,0.666666667,1,0.666666667
A1IBVWKNX3OKK7,10,22,16,25,23,33,6,0,10,8,10,8,11,11,21,5,0,8,0.8,0.454545455,0.5,0.44,0.47826087,0.636363636,0.833333333,0,0.8
A1DF95UHU5JH4Q,17,42,25,45,38,54,10,0,19,8,20,10,15,16,22,3,0,9,0.470588235,0.476190476,0.4,0.333333333,0.421052632,0.407407407,0.3,0,0.473684211
A1SIUJEL2LS8UO,30,38,39,54,47,65,15,1,28,13,23,16,23,19,38,5,1,16,0.433333333,0.605263158,0.41025641,0.425925926,0.404255319,0.584615385,0.333333333,1,0.571428571
A21KGSK2BDVWOA,22,39,28,43,40,56,11,1,23,10,22,14,19,16,34,5,1,14,0.454545455,0.564102564,0.5,0.441860465,0.4,0.607142857,0.454545455,1,0.608695652
A1Z2PN56VHHKNM,25,41,32,46,43,62,11,1,21,12,20,11,21,19,26,5,0,11,0.48,0.487804878,0.34375,0.456521739,0.441860465,0.419354839,0.454545455,0,0.523809524
A1E235KE3CSO7H,45,86,62,77,70,123,16,1,29,19,37,29,22,25,66,8,1,13,0.422222222,0.430232558,0.467741935,0.285714286,0.357142857,0.536585366,0.5,1,0.448275862
A1S9EY8YUIGDYV,56,71,60,88,80,181,13,1,33,22,44,34,47,47,127,7,1,19,0.392857143,0.61971831,0.566666667,0.534090909,0.5875,0.701657459,0.538461538,1,0.575757576
A2COAUZ1TISD2Q,33,53,40,58,55,74,13,1,24,12,19,13,18,14,28,6,0,11,0.363636364,0.358490566,0.325,0.310344828,0.254545455,0.378378378,0.461538462,0,0.458333333
A2m6tjir21bn2w,22,42,29,46,44,54,10,1,22,8,17,8,18,14,29,4,0,11,0.363636364,0.404761905,0.275862069,0.391304348,0.318181818,0.537037037,0.4,0,0.5
AAEZQL4J6CQGM,18,35,20,37,27,48,8,0,19,6,17,7,15,12,28,3,0,9,0.333333333,0.485714286,0.35,0.405405405,0.444444444,0.583333333,0.375,0,0.473684211
A1ZM4MGF3PDJ0M,33,57,46,65,67,87,12,2,30,20,40,32,46,39,61,9,1,23,0.606060606,0.701754386,0.695652174,0.707692308,0.582089552,0.701149425,0.75,0.5,0.766666667
A1XUZFDVKP95VC,29,53,48,58,49,79,15,1,28,17,31,27,24,20,54,8,1,13,0.586206897,0.58490566,0.5625,0.413793103,0.408163265,0.683544304,0.533333333,1,0.464285714
A1J6Z70T78B35V,17,26,23,30,27,43,10,0,15,9,17,15,16,15,33,6,0,8,0.529411765,0.653846154,0.652173913,0.533333333,0.555555556,0.76744186,0.6,0,0.533333333
A1KTPYX40PRLVW,27,66,47,72,46,91,16,0,18,8,34,10,15,13,36,4,0,6,0.296296296,0.515151515,0.212765957,0.208333333,0.282608696,0.395604396,0.25,0,0.333333333
A2XSAZ0Y6HPDQA,25,56,47,56,56,82,12,1,26,12,26,19,19,32,49,5,1,15,0.48,0.464285714,0.404255319,0.339285714,0.571428571,0.597560976,0.416666667,1,0.576923077
A12BTFPKFKKD2I,39,85,68,81,69,111,19,1,41,14,46,24,33,25,55,9,1,18,0.358974359,0.541176471,0.352941176,0.407407407,0.362318841,0.495495495,0.473684211,1,0.43902439
A1PUHCEBSOWETV,24,37,34,48,39,74,9,0,17,12,32,25,39,26,58,5,0,13,0.5,0.864864865,0.735294118,0.8125,0.666666667,0.783783784,0.555555556,0,0.764705882
A1WOCD9SAYI07V,22,39,36,48,32,60,9,1,19,10,16,13,16,9,33,3,0,6,0.454545455,0.41025641,0.361111111,0.333333333,0.28125,0.55,0.333333333,0,0.315789474
A3RVHUY67SVXQV,24,34,28,33,34,59,8,0,19,10,16,11,16,18,34,5,0,16,0.416666667,0.470588235,0.392857143,0.484848485,0.529411765,0.576271186,0.625,0,0.842105263
A1YTHGG0S2IJWZ,17,39,26,51,35,63,9,1,19,4,15,5,11,9,20,2,0,8,0.235294118,0.384615385,0.192307692,0.215686275,0.257142857,0.317460317,0.222222222,0,0.421052632
A2REJHHCX9OHFI,39,93,73,86,76,120,15,1,34,17,46,30,28,29,51,7,0,16,0.435897436,0.494623656,0.410958904,0.325581395,0.381578947,0.425,0.466666667,0,0.470588235
A24D98LB6OALQY,21,30,24,31,33,64,6,1,12,7,19,7,15,18,36,3,0,7,0.333333333,0.633333333,0.291666667,0.483870968,0.545454545,0.5625,0.5,0,0.583333333
A10VYQMVSHNFCV,19,34,28,42,24,57,8,1,13,12,29,20,37,17,47,6,1,9,0.631578947,0.852941176,0.714285714,0.880952381,0.708333333,0.824561404,0.75,1,0.692307692
A1RVMADIZE3BXK,22,30,25,45,28,64,9,0,17,11,20,14,23,11,41,2,0,6,0.5,0.666666667,0.56,0.511111111,0.392857143,0.640625,0.222222222,0,0.352941176
A2ECXGDFC0NJEL,31,70,45,59,61,89,14,2,28,12,31,17,20,19,46,6,1,14,0.387096774,0.442857143,0.377777778,0.338983051,0.31147541,0.516853933,0.428571429,0.5,0.5
A1IMXNDHFHG2IE,18,31,21,34,23,47,7,2,19,12,24,11,26,16,32,6,1,14,0.666666667,0.774193548,0.523809524,0.764705882,0.695652174,0.680851064,0.857142857,0.5,0.736842105
A1AGPPFSUSJSZN,26,37,31,47,40,57,10,1,25,9,17,15,15,15,35,6,1,14,0.346153846,0.459459459,0.483870968,0.319148936,0.375,0.614035088,0.6,1,0.56
a3orzpmvivngjs,13,31,24,33,29,45,8,0,15,6,17,11,14,12,30,4,0,9,0.461538462,0.548387097,0.458333333,0.424242424,0.413793103,0.666666667,0.5,0,0.6
A1RCP3YTL0TE7W,26,44,32,48,45,65,12,1,23,11,16,12,16,17,33,5,1,11,0.423076923,0.363636364,0.375,0.333333333,0.377777778,0.507692308,0.416666667,1,0.47826087
A285E5FTA8GGID,40,51,45,65,59,95,12,1,35,17,22,19,25,27,57,5,0,18,0.425,0.431372549,0.422222222,0.384615385,0.457627119,0.6,0.416666667,0,0.514285714
AZJKB1D4AFMQY,26,58,42,58,52,78,11,2,25,12,29,20,19,22,37,5,1,13,0.461538462,0.5,0.476190476,0.327586207,0.423076923,0.474358974,0.454545455,0.5,0.52
A3TBOHEHKXYV6C,23,42,34,42,39,57,10,0,19,14,32,22,31,23,46,7,0,13,0.608695652,0.761904762,0.647058824,0.738095238,0.58974359,0.807017544,0.7,0,0.684210526
A2DZ90CLYIB2BA,12,20,15,26,16,29,8,0,11,6,8,5,9,6,12,3,0,5,0.5,0.4,0.333333333,0.346153846,0.375,0.413793103,0.375,0,0.454545455
A22EDUBB602EJD,19,39,30,43,24,52,12,0,14,5,18,5,9,9,20,4,0,4,0.263157895,0.461538462,0.166666667,0.209302326,0.375,0.384615385,0.333333333,0,0.285714286
A24U7XTFENX96C,26,65,54,57,52,78,9,0,27,10,34,27,22,19,35,5,0,14,0.384615385,0.523076923,0.5,0.385964912,0.365384615,0.448717949,0.555555556,0,0.518518519
A7BEUXS3FTZTH,20,28,20,37,27,44,10,2,15,9,12,7,12,13,23,3,1,6,0.45,0.428571429,0.35,0.324324324,0.481481481,0.522727273,0.3,0.5,0.4
